band_id,name,genre,theme,label,country,location,date,url
"3540457717","'Iisnááhí","Black Metal","Navajo/Native American mythology | Diné Bahane' | Genocide | History","Unsigned/independent","United States","Albuquerque, New Mexico","2018","https://www.metal-archives.com/bands/%27Iisn%C3%A1%C3%A1h%C3%AD/3540457717"
"3540477290","(((o)))","Black Metal","Luciferianism","Unsigned/independent","Mexico","Mexico City","2020","https://www.metal-archives.com/bands/%28%28%28o%29%29%29/3540477290"
"3540410502",")October(","Black Metal","Instrumental","","Spain","Barcelona, Catalonia","2016","https://www.metal-archives.com/bands/%29October%28/3540410502"
"3540257015","+3 Broadsword","Black Metal","Dungeons & Dragons | Fantasy","","Australia","Melbourne, Victoria","2006","https://www.metal-archives.com/bands/%2B3_Broadsword/3540257015"
"3540525033","-I-","Black Metal","Instrumental","Unsigned/independent","Canada","Montréal, Quebec","","https://www.metal-archives.com/bands/-I-/3540525033"
"33438","...Aaaarrghh...","Black Metal","The agony of the afterlife","","Türkiye","Ankara, Ankara","1999","https://www.metal-archives.com/bands/...Aaaarrghh.../33438"
"3540355934","...Dieses","Black Metal","","","Russia","Michurinsk, Tambov Oblast","2009","https://www.metal-archives.com/bands/...Dieses/3540355934"
"3540411185","...Sick of Life","Black Metal","Depression | Suicide | Despair | Suffering","","International","Kyiv, Ukraine / Latvia","2015","https://www.metal-archives.com/bands/...Sick_of_Life/3540411185"
"3540528892","1228","Black Metal","","","United States","Pampa, Texas","","https://www.metal-archives.com/bands/1228/3540528892"
"27489","13 Candles","Black Metal","Evil","Unsigned/independent","Netherlands","Leiden, South Holland","1993","https://www.metal-archives.com/bands/13_Candles/27489"
"5575","1349","Black Metal","Satanism | Apocalypse | Darkness | Misanthropy","","Norway","Oslo","1997","https://www.metal-archives.com/bands/1349/5575"
"3540475151","1492","Black Metal","History | Anti-colonialism","Unsigned/independent","United States","Port Angeles, Washington","","https://www.metal-archives.com/bands/1492/3540475151"
"3540421235","1572","Black Metal","Death | Universe | Hate | Murder | Eternity","Unsigned/independent","Russia","Moscow","2016","https://www.metal-archives.com/bands/1572/3540421235"
"3540488257","15YearsinSolitude","Black Metal","Existentialism | Fear | Hope | Individual and collective liberation | Solidarity","Unsigned/independent","United Kingdom","","2020","https://www.metal-archives.com/bands/15YearsinSolitude/3540488257"
"3540317394","1833 AD","Black Metal","Oppression | Pain | Hatred | Vedic Mythology | Hinduism | Evil","Unsigned/independent","India","New Delhi","2004","https://www.metal-archives.com/bands/1833_AD/3540317394"
"3540324130","1879","Black Metal","History | War | Hate","","Chile","Villa Alemana, Valparaíso","2010","https://www.metal-archives.com/bands/1879/3540324130"
"3540482426","1941","Black Metal","War | Anti-fascism","Unsigned/independent","Germany","","","https://www.metal-archives.com/bands/1941/3540482426"
"3540477363","1979","Black Metal","Satanism | Anti-Christianity | Blasphemy","Unsigned/independent","Bolivia","Huanuni, Oruro","2018","https://www.metal-archives.com/bands/1979/3540477363"
"3540297905","21:37","Black Metal","Anti-Christianity | Blasphemy","","Poland","Busko-Zdrój, Świętokrzyskie","2009","https://www.metal-archives.com/bands/21%3A37/3540297905"
"3540258453","359","Black Metal","Satanism","","Finland","Turku, Varsinais-Suomi","2006","https://www.metal-archives.com/bands/359/3540258453"
"55013","3rd Revelation","Black Metal","Satanism | Darkness","Unsigned/independent","France","Saint-Étienne, Auvergne-Rhône-Alpes","1999","https://www.metal-archives.com/bands/3rd_Revelation/55013"
"3540484487","418","Black Metal","Death | Occultism | Aleister Crowley","Unsigned/independent","Russia","Veliky Novgorod, Novgorod Oblast","2012","https://www.metal-archives.com/bands/418/3540484487"
"3540533558","4500 Ans Enfermé Dans un Vieux Tombeau Poussiéreux et Scellé Par un Sort Maudit","Black Metal","","Unsigned/independent","France","","","https://www.metal-archives.com/bands/4500_Ans_Enferm%C3%A9_Dans_un_Vieux_Tombeau_Poussi%C3%A9reux_et_Scell%C3%A9_Par_un_Sort_Maudit/3540533558"
"124572","5:45","Black Metal","War | Genocide | National Socialism | Retribution","","Germany","Bavaria","2007","https://www.metal-archives.com/bands/5%3A45/124572"
"98677","666","Black Metal","Satanism | Hate","","Hungary","Szeged, Csongrád","2003","https://www.metal-archives.com/bands/666/98677"
"3540414491","666 Realidad Oculta","Black Metal","Anti-religion | Satanism | Perversion","","Colombia","Medellin, Antioquia","2014","https://www.metal-archives.com/bands/666_Realidad_Oculta/3540414491"
"3540509249","6Seis6","Black Metal","","","Mexico","Tijuana, Baja California","2006","https://www.metal-archives.com/bands/6Seis6/3540509249"
"3540427748","7 Peles","Black Metal","","","Brazil","Rio de Janeiro, Rio de Janeiro","2016","https://www.metal-archives.com/bands/7_Peles/3540427748"
"92694","731","Black Metal","Satanism | Misanthropy","Unsigned/independent","Russia","Sarov, Nizhny Novgorod Oblast","2004","https://www.metal-archives.com/bands/731/92694"
"33036","731 Urkved","Black Metal","","Unsigned/independent","Italy","Fano (Pesaro and Urbino), Marche","2005","https://www.metal-archives.com/bands/731_Urkved/33036"
"3540277625","78424325","Black Metal","Negativity | Apathy | Failure","","Mexico","Mexico City","2008","https://www.metal-archives.com/bands/78424325/3540277625"
"74559","88","Black Metal","War | National Socialism | Hatred | Racism | Antisemitism","","Bulgaria","Sandanski, Blagoevgrad","2006","https://www.metal-archives.com/bands/88/74559"
"15190","9th Circle","Black Metal","Satanism","Unsigned/independent","Sweden","Piteå, Norrbotten","2001","https://www.metal-archives.com/bands/9th_Circle/15190"
"3540443454",":Inferno 9:","Black Metal","Mystery | Spirituality | Future | History | Nature","Unsigned/independent","Italy","Lodi, Lombardy","2017","https://www.metal-archives.com/bands/%3AInferno_9%3A/3540443454"
"3540310981","A Cloud Forest","Black Metal","","","United States","Phoenix, Arizona","2009","https://www.metal-archives.com/bands/A_Cloud_Forest/3540310981"
"3540445071","A Congregation of Horns","Black Metal","Anti-fascism | Hell | Suffering","","United Kingdom","London, England","2017","https://www.metal-archives.com/bands/A_Congregation_of_Horns/3540445071"
"3540326201","A Cursed Spirit in the Mirror","Black Metal","Death | Darkness | Hate","","United States","Los Angeles, California","2009","https://www.metal-archives.com/bands/A_Cursed_Spirit_in_the_Mirror/3540326201"
"3540469743","A Diaboli","Black Metal","Religion | Hate | Mental issues | Politics | Satanism","","Norway","Fredrikstad, Viken","2019","https://www.metal-archives.com/bands/A_Diaboli/3540469743"
"3540512598","A Felled Forest","Black Metal","Nature | Darkness | Introspection","","United States","","","https://www.metal-archives.com/bands/A_Felled_Forest/3540512598"
"8591","A Forest","Black Metal","Cold | Winter | Hate | Satanism | Nature","","Italy","Novara, Piedmont","2000","https://www.metal-archives.com/bands/A_Forest/8591"
"3540277989","A Long Forgotten Power","Black Metal","Necromancy | Philosophy","Unsigned/independent","United States","Houston, Texas","2008","https://www.metal-archives.com/bands/A_Long_Forgotten_Power/3540277989"
